"label","Clade"
"YDS29704","10"
"YDZ83895","10"
"YDQ43529","10"
"YDQ42984","10"
"YDO78145","10"
"YDX57060","10"
"YDQ22331","10"
"YDO02692","10"
"YDY07275","10"
"YDY11387","10"
"YDP24080","10"
"YDP46801","10"
"YDQ42768","10"
"YDP51427","10"
"YDP49664","10"
"YDZ84195","10"
"YDO02848","10"
"YDO74208","10"
"YDO78049","10"
"YDP24116","10"
"YDQ43268","10"
"YDQ43767","10"
"YDQ46176","10"
"YDS29311","10"
"YDS30004","10"
"YDS30028","10"
"YDV56859","10"
"YDV57159","10"
"YDY11399","10"
"YDZ58611","10"
"YDZ84135","10"
"YDZ59071","10"
"YDZ84111","10"
"YDP92885","10"
"YDZ59416","10"
"YDZ58820","10"
"YDP31310","10"
"YDP43240","10"
"YDP48229","10"
"YDP49222","10"
"YDP49616","10"
"YDQ38978","10"
"YDQ42648","10"
"YDQ43127","10"
"YDQ39301","10"
"YDP30400","10"
"YDP30531","10"
"YDX57356","10"
"YDV56469","10"
"YDV08989","10"
"YDQ43079","10"
"YDP32226","10"
"YDZ58844","10"
"YDQ46212","10"
"YDQ43008","10"
"YDP44487","10"
"YDQ42006","10"
"YDP40212","10"
"YDQ22307","10"
"YDP30340","10"
"YDP30843","10"
"YDP33544","10"
"YDP45302","10"
"YDP48385","10"
"YDP50177","10"
"YDP50508","10"
"YDP50736","10"
"YDP50855","10"
"YDQ39205","10"
"YDQ41864","10"
"YDQ42318","10"
"YDQ42411","10"
"YDO86981","10"
"YDQ44337","10"
"YDQ44672","10"
"YDQ45292","10"
"YDS29287","10"
"YDS29764","10"
"YDV56743","10"
"YDV56811","10"
"YDV56943","10"
"YDX56893","10"
"YDX57227","10"
"YDZ59452","10"
"YDZ83943","10"
"YDZ58325","10"
"YDQ41982","10"
"YDP44703","10"
"YDZ59296","10"
"YDP43024","10"
"YDP48397","10"
"YDZ59022","10"
"YDS29944","10"
"YDQ44783","10"
"YDQ42282","10"
"YDP49640","10"
"YDP49473","10"
"YDP49138","10"
"YDP47909","10"
"YDP41947","10"
"YDP31190","10"
"YDO74055","10"
"YDP45350","10"
"YDZ58373","10"
"YDV56823","10"
"YDQ42864","10"
"YDZ58623","10"
"YDZ58563","10"
"YDP29993","10"
"YDQ41948","10"
"YDZ58456","10"
"YDQ43910","10"
"YDX57179","10"
"YDQ43863","10"
"YDQ41759","10"
"YDP30376","10"
"YDO74196","10"
"YDP31322","10"
"YDP39016","10"
"YDP46242","10"
"YDP48253","10"
"YDQ40897","10"
"YDQ42470","10"
"YDQ43409","10"
"YDQ43815","10"
"YDV08977","10"
"YDV57087","10"
"YDZ59059","10"
"YDZ59010","10"
"YDQ42612","10"
"YDP43252","10"
"YDQ42744","10"
"YDQ42876","10"
"YDQ43362","10"
"YDQ43611","10"
"YDQ43945","10"
"YDQ44206","10"
"YDQ45668","10"
"YDQ45810","10"
"YDQ45822","10"
"YDQ41279","10"
"YDQ45834","10"
"YDP41719","10"
"YDQ46223","10"
"YDP50021","10"
"YDP41839","10"
"YDS29908","10"
"YDV08704","10"
"YDV08740","10"
"YDV56349","10"
"YDX57001","10"
"YDY11375","10"
"YDY11411","10"
"YDZ58575","10"
"YDZ58599","10"
"YDZ59488","10"
"YDZ84075","10"
"YDZ83967","10"
"YDZ83919","10"
"YDP32025","10"
"YDQ42494","10"
"YDQ42222","10"
"YDQ42102","10"
"YDQ41936","10"
"YDP46741","10"
"YDQ41888","10"
"YDP48924","10"
"YDQ41795","10"
"YDQ41699","10"
"YDP34290","10"
"YDQ41351","10"
"YDQ41267","10"
"YDQ41135","10"
"YDQ41005","10"
"YDP51723","10"
"YDP51581","10"
"YDP51355","10"
"YDP51187","10"
"YDP51175","10"
"YDP50903","10"
"YDP50796","10"
"YDP50556","10"
"YDP50273","10"
"YDP50069","10"
"YDP49317","10"
"YDP49020","10"
"YDP49008","10"
"YDP48517","10"
"YDP48205","10"
"YDP48064","10"
"YDP47837","10"
"YDP47159","10"
"YDP46599","10"
"YDP45826","10"
"YDP44131","10"
"YDP44108","10"
"YDP44096","10"
"YDP42784","10"
"YDP42509","10"
"YDP32286","10"
"YDP40644","10"
"YDP35012","10"
"YDP34965","10"
"YDP34810","10"
"YDP34220","10"
"YDP32561","10"
"YDP31693","10"
"YDP32393","10"
"YDP31894","10"
"YDP32274","10"
"YDP32180","10"
"YDP31906","10"
"YDP31789","10"
"YDP31466","10"
"YDP31406","10"
"YDP31298","10"
"YDP31083","10"
"YDP31023","10"
"YDP30723","10"
"YDP30459","10"
"YDP29493","10"
"YDP38548","11"
"YDP45086","14"
"YDQ46142","14"
"YDO74394","14"
"YDO74514","14"
"YDQ56370","14"
"YDP43739","14"
"YDP48349","14"
"YDP24176","14"
"YDU87749","14"
"YDP92933","14"
"YDP45779","14"
"YDP47217","14"
"YDQ44040","14"
"YDQ45340","14"
"YDS29932","14"
"YDU30390","14"
"YDV56326","14"
"YDZ58432","14"
"YDX57191","14"
"YDV56505","14"
"YDP31262","14"
"YDP29778","14"
"YDP30447","14"
"YDP42474","14"
"YDP50189","14"
"YDQ41076","14"
"YDS29920","14"
"YDU30318","14"
"YDU30426","14"
"YDX57084","14"
"YDX57132","14"
"YDY11517","14"
"YDZ58385","14"
"BHU42363","14"
"YDZ58772","14"
"YDP32133","14"
"YDP92957","14"
"YDP34655","14"
"YDP46135","14"
"YDQ41531","14"
"YDP33829","14"
"YDP31681","14"
"YDP48793","14"
"YDP43192","14"
"YDQ56478","14"
"YDP47813","14"
"YDU30378","14"
"YDP33077","14"
"YDP46147","14"
"YDQ56513","14"
"YDU30402","14"
"YDU30200","14"
"YDP30471","14"
"YDP30543","14"
"YDP31586","14"
"YDP32525","14"
"YDP33412","14"
"YDP31142","14"
"YDP43132","14"
"YDP43631","14"
"YDP44334","14"
"YDP45158","14"
"YDP45994","14"
"YDP46646","14"
"YDP46824","14"
"YDP47324","14"
"YDP49758","14"
"YDP51307","14"
"YDP51675","14"
"YDQ38942","14"
"YDQ40228","14"
"YDQ56525","14"
"BHS43269","14"
"YDS29395","14"
"YDV56683","14"
"YDZ59404","14"
"YDO74478","14"
"YDS29800","14"
"YDZ59945","14"
"YDX39848","14"
"YDP34361","15"
"YDT71541","15"
"YDQ44927","15"
"BHU42804","15"
"BHU44227","15"
"BHU44859","15"
"BHU44621","15"
"BHU43151","15"
"BHU44775","15"
"BHU44107","15"
"BHU42483","15"
"BHU42518","15"
"BHU43103","15"
"BHU42948","15"
"BHU42542","15"
"YDT71136","15"
"YDT71160","15"
"BHU42756","15"
"BHU42554","15"
"BHU44847","15"
"YDT71597","15"
"YDZ82944","15"
"BHU42423","15"
"YDZ82626","15"
"YDZ82258","15"
"YDZ82694","15"
"YDZ82638","15"
"YDT71101","15"
"BHU42996","15"
"YDZ80740","15"
"YDZ82405","15"
"YDZ81955","15"
"YCS39301","15"
"BHU43067","15"
"YDZ79920","15"
"YDZ80021","15"
"YDZ80424","15"
"YDZ80637","15"
"YDZ80819","15"
"YDZ80842","15"
"YDZ81141","15"
"YDZ81387","15"
"YDZ81943","15"
"YDZ82045","15"
"YDZ82113","15"
"YDZ82191","15"
"YDZ82246","15"
"YDZ82337","15"
"YDZ82359","15"
"YDZ82582","15"
"YDZ82752","15"
"YDZ82764","15"
"YDZ82786","15"
"YDZ82932","15"
"YDZ82921","15"
"BHS42792","15"
"BHU43474","15"
"BHU42530","15"
"BHU43498","15"
"BHU43570","15"
"BHU43941","15"
"BHU44406","15"
"BHU44537","15"
"BHU42459","15"
"BHU42471","15"
"BHU42768","15"
"BHU43270","15"
"BHU43247","15"
"YDV56314","13"
"YDP34738","15"
"BHS42804","15"
"YDT71217","15"
"BHS42732","15"
"YDT71277","15"
"YDT71657","15"
"BHU43402","15"
"BHU43438","15"
"BHU43690","15"
"BHU43714","15"
"BHU43821","15"
"BHU43857","15"
"BHU44347","15"
"BHU44430","15"
"BHU44478","15"
"BHU44597","15"
"BHU44751","15"
"BHU43019","15"
"BHU43342","15"
"BHU43115","15"
"YDP37520","15"
"YDP39328","15"
"YDP40021","15"
"BHS43092","15"
"YDT71325","15"
"BHU42387","15"
"BHS43329","15"
"BHU42650","15"
"YDP38920","15"
"YDP38608","15"
"YDQ40180","15"
"YDP37103","15"
"YDP50331","15"
"YDP44251","15"
"BHU43546","15"
"BHU44573","15"
"BHU44119","15"
"YDP35393","15"
"YDP38944","15"
"BHS43032","15"
"BHS43222","15"
"YDQ46047","15"
"YDP40632","15"
"YDP34385","15"
"YDP37472","15"
"YDP37579","15"
"YDP38225","15"
"YDP38525","15"
"YDP39795","15"
"YDP47430","15"
"YDP47562","15"
"YDQ39074","15"
"YDQ39773","15"
"YDQ39881","15"
"YDQ39941","15"
"YDQ44891","15"
"BHS43056","15"
"BHS43128","15"
"BHU42411","15"
"BHU44799","15"
"YDQ41519","13"
"YDP41460","13"
